split,image_id,hls_tile,acquisition_date,crs_wkt,chip_bounds,burned_pixels,unburned_pixels,missing_pixels
training,subsetted_512x512_HLS.S30.T10SDH.2020248.v1.4,10SDH,2020-09-04,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((491219.99999999994 4266540.0, 491219.99999999994 4281900.0, 506579.99999999994 4281900.0, 506579.99999999994 4266540.0, 491219.99999999994 4266540.0))",207973,54167,4
training,subsetted_512x512_HLS.S30.T10SEH.2018245.v1.4,10SEH,2018-09-02,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((579870.0 4233210.0, 579870.0 4248570.0, 595230.0 4248570.0, 595230.0 4233210.0, 579870.0 4233210.0))",9909,252216,19
training,subsetted_512x512_HLS.S30.T10SEH.2018280.v1.4,10SEH,2018-10-07,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((546030.0 4277730.0, 546030.0 4293090.0, 561390.0 4293090.0, 561390.0 4277730.0, 546030.0 4277730.0))",11202,250942,0
training,subsetted_512x512_HLS.S30.T10SEH.2019305.v1.4,10SEH,2019-11-01,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((512520.0 4273350.0, 512520.0 4288710.0, 527880.0 4288710.0, 527880.0 4273350.0, 512520.0 4273350.0))",200978,61154,12
training,subsetted_512x512_HLS.S30.T10SEH.2020190.v1.4,10SEH,2020-07-08,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((578010.0 4251240.0, 578010.0 4266600.0, 593370.0 4266600.0, 593370.0 4251240.0, 578010.0 4251240.0))",8300,253814,30
training,subsetted_512x512_HLS.S30.T10SEH.2020285.v1.4,10SEH,2020-10-11,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((531870.0 4257990.0, 531870.0 4273350.0, 547230.0 4273350.0, 547230.0 4257990.0, 531870.0 4257990.0))",184297,77793,54
training,subsetted_512x512_HLS.S30.T10SEJ.2018185.v1.4,10SEJ,2018-07-04,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((529950.0 4378200.0, 529950.0 4393560.0, 545310.0 4393560.0, 545310.0 4378200.0, 529950.0 4378200.0))",10584,251560,0
training,subsetted_512x512_HLS.S30.T10SEJ.2018220.v1.4,10SEJ,2018-08-08,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((593640.0 4331790.0, 593640.0 4347150.0, 609000.0 4347150.0, 609000.0 4331790.0, 593640.0 4331790.0))",4601,257543,0
training,subsetted_512x512_HLS.S30.T10SEJ.2019185.v1.4,10SEJ,2019-07-04,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((556800.0 4298820.0, 556800.0 4314180.0, 572160.0 4314180.0, 572160.0 4298820.0, 556800.0 4298820.0))",11111,251033,0
training,subsetted_512x512_HLS.S30.T10SFE.2020267.v1.4,10SFE,2020-09-23,"PROJCS[""UTM Zone 10, Northern Hemisphere"",GEOGCS[""Unknown datum based upon the WGS 84 ellipsoid"",DATUM[""Not specified (based on WGS 84 spheroid)"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-123],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","POLYGON ((635580.0 3982080.0, 635580.0 3997440.0, 650940.0 3997440.0, 650940.0 3982080.0, 635580.0 3982080.0))",248671,13464,9
