image_id,event_id,outer_fold,role
subsetted_512x512_HLS.S30.T10SDH.2020248.v1.4,CA3867312307820200817,1,test
subsetted_512x512_HLS.S30.T10SEH.2018245.v1.4,CA3831012199020180810,1,train
subsetted_512x512_HLS.S30.T10SEH.2018280.v1.4,CA3873012240020180908,1,train
subsetted_512x512_HLS.S30.T10SEH.2019305.v1.4,CA3879612276720191023,1,test
subsetted_512x512_HLS.S30.T10SEH.2020190.v1.4,CA3847012204820200606,1,train
subsetted_512x512_HLS.S30.T10SEH.2020285.v1.4,CA3855412253120200927,1,train
subsetted_512x512_HLS.S30.T10SEJ.2018185.v1.4,CA3966012253020180609,1,val
subsetted_512x512_HLS.S30.T10SEJ.2018220.v1.4,CA3919012180020180731,1,train
subsetted_512x512_HLS.S30.T10SEJ.2019185.v1.4,CA3892812226620190608,1,train
subsetted_512x512_HLS.S30.T10SFE.2020267.v1.4,CA3612312160220200819,1,train
subsetted_512x512_HLS.S30.T10SFF.2018155.v1.4,CA3686012078020180502,1,train
subsetted_512x512_HLS.S30.T10SFF.2018190.v1.4,CA3641012100020180604,1,train
subsetted_512x512_HLS.S30.T10SFF.2020250.v1.4,CA3656312164020200816,1,test
subsetted_512x512_HLS.S30.T10SFF.2021189.v1.4,CA3620712156020210618,1,train
subsetted_512x512_HLS.S30.T10SFH.2018185.v1.4,CA3805012095020180629,1,test
subsetted_512x512_HLS.S30.T10SFH.2020185.v1.4,CA3852112120220200612,1,test
subsetted_512x512_HLS.S30.T10SFH.2020245.v1.4,CA3802612076120200818,1,test
subsetted_512x512_HLS.S30.T10SGD.2021306.v1.4,CA3451712013120211011,1,train
subsetted_512x512_HLS.S30.T10SGE.2018247.v1.4,CA3580012036020180806,1,train
subsetted_512x512_HLS.S30.T10SGE.2019187.v1.4,CA3566212040420190612,1,test
subsetted_512x512_HLS.S30.T10SGE.2020162.v1.4,CA3605412006420200503,1,train
subsetted_512x512_HLS.S30.T10SGE.2020187.v1.4,CA3535111995620200610,1,train
subsetted_512x512_HLS.S30.T10SGE.2020217.v1.4,CA3535112000520200728,1,test
subsetted_512x512_HLS.S30.T10SGE.2020247.v1.4,CA3607512023120200815,1,train
subsetted_512x512_HLS.S30.T10SGG.2019307.v1.4,CA3761912020720170716,1,train
subsetted_512x512_HLS.S30.T10TDN.2019213.v1.4,OR4292012329520190725,1,val
subsetted_512x512_HLS.S30.T10TEK.2018183.v1.4,CA4051012242020180624,1,test
subsetted_512x512_HLS.S30.T10TEK.2018340.v1.4,CA4022012217020181007,1,train
subsetted_512x512_HLS.S30.T10TEK.2019275.v1.4,CA4010912278920190905,1,train
subsetted_512x512_HLS.S30.T10TEK.2019350.v1.4,CA4004012260920191103,1,train
subsetted_512x512_HLS.S30.T10TEK.2020275.v1.4,CA4054112256820200927,1,val
subsetted_512x512_HLS.S30.T10TEM.2018213.v1.4,OR4209912285420180715,1,train
subsetted_512x512_HLS.S30.T10TFK.2020220.v1.4,CA4042112086320200718,1,train
subsetted_512x512_HLS.S30.T10TFL.2018245.v1.4,CA4139512105720180815,1,train
subsetted_512x512_HLS.S30.T10TFL.2020215.v1.4,CA4106412076220200720,1,train
subsetted_512x512_HLS.S30.T10TFM.2019280.v1.4,CA4174812105620190905,1,test
subsetted_512x512_HLS.S30.T10TFN.2018245.v1.4,OR4265012082720180815,1,train
