dist_bin,n_pixels,rf_err_rate,linear_err_rate,mlp_err_rate,decoder_err_rate,spectral_err_rate
0-1,1180770,0.408282730760436,0.4839511505204231,0.5101255960093837,0.4851986415644029,0.4795989057987584
1-2,1581204,0.26173409629624006,0.48629588591984335,0.5051106625078104,0.49015370565720806,0.4160070427345238
2-3,1465786,0.19236300524087419,0.4868582453373139,0.5019573116403077,0.48928492972371135,0.3472246289703954
3-4,1034064,0.1767898311903325,0.48533166225688157,0.501348079035727,0.4885258552662118,0.2963017762923765
4-6,2301067,0.16533547263074044,0.49175186989340164,0.49426722472661594,0.4918665992776395,0.2405245045016073
6-8,2005758,0.1567965826385835,0.49904076164721767,0.4865332707136155,0.4960718092611372,0.1869218519881262
8-12,3748076,0.14624943571048185,0.5125256264814267,0.47286261004312613,0.5052042701375319,0.14079597105288152
12-16,3599116,0.13417127983649318,0.5338252504226038,0.45570717920733866,0.5194367172383441,0.10564288564191873
16-24,6362528,0.11871586262567332,0.566472163265922,0.4328782521664345,0.5456177167314628,0.0851158533211956
24-32,5856317,0.10022647339616349,0.6141516929496815,0.3998875060895781,0.5833077341953996,0.06806359696717237
32-48,10616392,0.08141645485584934,0.6697989298059077,0.35590396436001986,0.6270751871257203,0.05447001203422029
48-64,10133647,0.06329281057451479,0.7259385490732014,0.30685221223908826,0.6696346340068882,0.04207044117483074
64-96,19935418,0.04783586679747573,0.7698018170474279,0.2568168874111393,0.7032698286035437,0.03193803109621278
96-128,20049611,0.03413896658643402,0.803483768338448,0.22186944175625153,0.7305666927901993,0.022814706978604223
