model_a,model_b,metric,a_mean,b_mean,delta_mean,delta_median,delta_ci_lo,delta_ci_hi
mlp,linear,iou,0.1292769591780069,0.1305925678003778,-0.001315608622370921,0.0263461662423961,-0.011878409199246537,0.008526504011330602
mlp,linear,dice,0.21791790224221108,0.19691333029690405,0.021004571945307002,0.046161222641391046,0.009533326350424174,0.03208191834160073
mlp,linear,auprc,0.237608196996471,0.15936880311495236,0.07823939388151867,0.06156923917263246,0.07210625651777491,0.08463265918423267
mlp,linear,auroc,0.6516583777494689,0.5780434297465011,0.07361494800296763,0.06184983211015707,0.06620893997388028,0.08105605348979433
mlp,rf,iou,0.1292769591780069,0.5638685344641785,-0.43459157528617165,-0.4575447855230723,-0.45390107207252306,-0.41502690842116424
mlp,rf,dice,0.21791790224221108,0.6824282907988084,-0.4645103885565973,-0.5032009666974394,-0.48314440411727666,-0.4453350884746039
mlp,rf,auprc,0.237608196996471,0.7696729845141161,-0.5320647875176453,-0.5841365209463605,-0.550982752562511,-0.5126228184424232
mlp,rf,auroc,0.6516583777494689,0.9299523382423742,-0.27829396049290545,-0.2908420679245721,-0.2874726150797234,-0.26867448877325323
decoder,rf,iou,0.1550232877757081,0.5638685344641785,-0.4088452466884705,-0.44356746944192865,-0.43173088994733255,-0.3855166517581867
decoder,rf,dice,0.23298717193748772,0.6824282907988084,-0.4494411188613207,-0.5082950337335462,-0.4732023467382679,-0.42506582459683534
decoder,rf,auprc,0.2091647695575978,0.7696729845141161,-0.5605082149565184,-0.6278679791102019,-0.582785034654799,-0.5378124787177077
decoder,rf,auroc,0.5779934511249112,0.9299523382423742,-0.35195888711746304,-0.39115384432345585,-0.36463312287791944,-0.3393266211204441
decoder,linear,iou,0.1550232877757081,0.1305925678003778,0.024430719975330258,0.0006181450847497529,0.016030919229187725,0.03311579609663936
decoder,linear,dice,0.23298717193748772,0.19691333029690405,0.03607384164058366,0.001100890957444596,0.0246100519496553,0.04812005910179778
decoder,linear,auprc,0.2091647695575978,0.15936880311495236,0.04979596644264549,-0.004996712203337,0.038362116622321425,0.06170377159998044
decoder,linear,auroc,0.5779934511249112,0.5780434297465011,-4.997862158999158e-05,-0.02773145586524492,-0.012284835223022952,0.012327965667935696
decoder,spectral,iou,0.1550232877757081,0.5772731832726465,-0.4222498954969384,-0.5020413790262899,-0.4466439604265473,-0.3972202233096912
decoder,spectral,dice,0.23298717193748772,0.6786057269857775,-0.44561855504828984,-0.5198850053877031,-0.47200976324620925,-0.41818922167982336
decoder,spectral,auprc,0.2091647695575978,0.7963804722266459,-0.587215702669048,-0.6642892232484636,-0.6116906935998865,-0.5626145026938124
decoder,spectral,auroc,0.5779934511249112,0.9348064926583548,-0.3568130415334436,-0.4181006667451675,-0.3727181136973842,-0.34075552617262916
mlp,spectral,iou,0.1292769591780069,0.5772731832726465,-0.4479962240946396,-0.5330560701997922,-0.4693498838871813,-0.4257483194332647
mlp,spectral,dice,0.21791790224221108,0.6786057269857775,-0.46068782474356634,-0.552706355624869,-0.48272002281129667,-0.43771257192163476
mlp,spectral,auprc,0.237608196996471,0.7963804722266459,-0.5587722752301748,-0.644077001051951,-0.5815342998885705,-0.535827447466446
mlp,spectral,auroc,0.6516583777494689,0.9348064926583548,-0.283148114908886,-0.31594231466713796,-0.2959383347703193,-0.26951166636560964
