model,model_name,metric,n_events,mean,median,bootstrap_ci_lo,bootstrap_ci_hi
rf,spectral RF,iou,576,0.5638685344641785,0.6162670642356682,0.5429074267516677,0.5843313446642177
rf,spectral RF,dice,576,0.6824282907988084,0.7625798128104135,0.6624001091141557,0.7021596894671557
rf,spectral RF,auprc,576,0.7696729845141161,0.8533825383827828,0.7504852648531379,0.7880738871408031
rf,spectral RF,auroc,576,0.9299523382423742,0.9531411429741418,0.9235200112184041,0.9359384019657092
linear,Prithvi linear,iou,576,0.1305925678003778,0.053289453848269344,0.11625398066148879,0.1457004377992704
linear,Prithvi linear,dice,576,0.19691333029690405,0.10118672250695121,0.1796305442643878,0.21502274877892472
linear,Prithvi linear,auprc,576,0.15936880311495236,0.07781788962037425,0.14328638172167793,0.17611549319310296
linear,Prithvi linear,auroc,576,0.5780434297465011,0.5714710963042071,0.5728738426513353,0.583067278191381
mlp,Prithvi MLP,iou,576,0.1292769591780069,0.10960047607817261,0.12168472014802569,0.13719115277555885
mlp,Prithvi MLP,dice,576,0.21791790224221108,0.19754939480249317,0.2070455241137087,0.2290866873190801
mlp,Prithvi MLP,auprc,576,0.237608196996471,0.1846272804118952,0.22168263244815545,0.25404003011302867
mlp,Prithvi MLP,auroc,576,0.6516583777494689,0.6364743716513764,0.6433462023811217,0.6600256386205684
decoder,Prithvi decoder,iou,576,0.1550232877757081,0.0720561931399008,0.1403197177425047,0.17033549929015993
decoder,Prithvi decoder,dice,576,0.23298717193748772,0.13442614439751138,0.2147661778652146,0.25167602653347104
decoder,Prithvi decoder,auprc,576,0.2091647695575978,0.1012239434608801,0.1913582228255227,0.22813485425193497
decoder,Prithvi decoder,auroc,576,0.5779934511249112,0.5235590285297294,0.5668506286037349,0.5892695442724014
spectral,spectral CNN,iou,576,0.5772731832726465,0.6658500306547449,0.5538700743071213,0.6006953413567667
spectral,spectral CNN,dice,576,0.6786057269857775,0.7994115203469618,0.6542328240287003,0.7025460004440479
spectral,spectral CNN,auprc,576,0.7963804722266459,0.9291087249871837,0.7739679190526506,0.8185652363551907
spectral,spectral CNN,auroc,576,0.9348064926583548,0.9903650440419696,0.9223386870980618,0.9461616585695524
