event_a,event_b,overlap_area_m2
CA3805012095020180629,CA3802612076120200818,100095183.1
CA3580012036020180806,CA3566212040420190612,1313184.5
CA3535111995620200610,CA3535112000520200728,99573912.3
CA3535111995620200610,CA3533311990620190605,195522111.8
CA3535112000520200728,CA3533311990620190605,87200354.4
CA4051012242020180624,CA4054112256820200927,62630440.0
CA4010912278920190905,CA4004012260920191103,7025523.6
CA4174812105620190905,CA4173712105820200723,151034253.4
WA4671912050220180602,WA4682812052320190723,72329022.2
WA4754012029720180713,WA4742412023220180901,27195878.9
WA4675811948720180908,WA4673711934020180802,42492595.5
WA4675811948720180908,WA4676511950920200706,137569952.3
WA4725411999320180703,WA4729212017020200724,13964397.6
WA4770712016520190723,WA4779011998320180727,9672995.1
WA4779011998320180727,WA4777911979820200712,30856415.6
WA4779011998320180727,WA4792111992220200907,31925988.8
WA4777911979820200712,WA4792111992220200907,4533529.4
NV3881811941120180617,NV3887811956320200624,40348753.6
NV3881811941120180617,NV3884311963920200707,7909990.2
NV3887811956320200624,NV3884311963920200707,173227742.6
CA3782611887220190726,CA3792911898320200817,34494339.5
CA3490011851020180604,CA3446611833020200705,54302926.7
CA3546511854420200803,CA3540811843620210720,96066059.9
CA3352811727320190904,CA3350411735320210828,35089500.1
CA3337911735120200609,CA3338011743020180706,140189024.4
CA3337911735120200609,CA3350411735320210828,84093697.8
CA3405311699120200905,CA3399211696420200731,33763458.7
CA3405311699120200905,CA3399211705920191010,25364278.0
CA3606211763420200821,CA3606611745820200728,23702006.9
NV3722911623920180728,NV3727011619820210825,61255746.3
NV3594511544620200720,NV3599911559820210610,47972661.9
WA4597011911020180622,OR4597411899820180729,132990093.4
OR4531411905220180816,OR4538011911420200908,115099817.6
WA4663311856920200908,WA4662511872120190802,43379718.6
NV4076011752020180724,NV4064811732520190722,10718232.3
NV4064811732520190722,NV4057511751220190723,13109562.4
NV4064811732520190722,NV4076611721820190808,6465282.7
NV4125011713520190916,NV4124711727320200723,40642974.2
ID4458311709720180915,ID4447411719020180725,8070432.5
WA4643911718420200817,WA4649011720020210722,147634495.1
NV4067711610520180627,NV4061211588320180724,14621475.7
NV4067711610520180627,NV4064611615820180823,146883999.9
NV4061211588320180724,NV4061811574920200719,780733.5
ID4284111556820200530,ID4275711555220180822,65369900.0
ID4298311481320200606,ID4295011487620200703,106764961.0
ID4298311481320200606,ID4304311477420180717,68926013.6
ID4295011487620200703,ID4304311477420180717,10737935.4
ID4261911561220210806,ID4275711555220180822,21504652.8
ID4254811347120200723,ID4262311348620200808,121257047.7
AZ3146411144720180705,AZ3160611150220201027,70694145.0
NM3134910867820180516,NM3145210885920190207,2276378.4
AZ3479711322320200824,AZ3495111328920180515,72524765.0
AZ3697611367020210624,AZ3689811361420180708,105801850.0
AZ3697611367020210624,AZ3697411369720210713,204471211.4
AZ3697411369720210713,AZ3689811361420180708,85126925.7
UT3732811369420200927,UT3715711356620200714,3400170.6
AZ3427511241920201015,AZ3424311248720190714,167189244.8
UT3806611313920180720,UT3800311315120190905,184675416.2
AZ3168311135220201006,AZ3160611150220201027,11170308.6
AZ3340211129720200531,AZ3340811121020190608,1369077.7
AZ3384711201720200517,AZ3395611183620200829,8737251.6
AZ3384711201720200517,AZ3394811199720180727,58687768.0
AZ3384711201720200517,AZ3395311201220190903,23229360.7
AZ3395611183620200829,AZ3388511181620200925,109238738.7
AZ3395611183620200829,AZ3394811199720180727,18129189.7
AZ3395611183620200829,AZ3395311201220190903,39424905.4
AZ3343511035820200606,AZ3354411042020200801,104867352.5
AZ3198010937020180512,AZ3209510937320200606,33541185.4
UT4192311225720180627,UT4185411239220180803,48959617.8
UT4185411239220180803,UT4177911224220190715,41043018.8
ID4268911299220180609,ID4268511284420210614,49805133.3
ID4298011230820180816,ID4284311240020200719,1159.1
WY4377310790720180728,WY4385610791920200714,119552841.0
WY4377310790720180728,WY4381010781320180813,24461272.5
WY4381010781320180813,WY4385610791920200714,105334618.9
MT4758010779320180720,MT4747210794120190812,10454780.2
NM3358510552620180412,NM3366710562920200804,43951995.1
NM3692110306120180308,NM3690210301720180609,23642340.1
NM3692110306120180308,OK3694010296020180524,66779318.8
NM3692110306120180308,NM3694510319920200523,77345169.0
NM3690210301720180609,OK3694010296020180524,79515154.5
NM3316110373620180331,NM3317010361120180518,17011576.5
MT4589610704320200803,MT4599210727920200923,34766516.7
MT4541710565520201006,MT4529310571720200614,35930896.7
TX3097610133020180413,TX3086610127820180604,30275935.0
TX3097610133020180413,TX3096410129920180702,74456516.1
TX3086610127820180604,TX3096410129920180702,125226555.5
TX3095610045720180124,TX3095710045720190723,214400312.3
TX3575010162220190313,TX3565810161920180413,741169.3
TX3575010162220190313,TX3570310164720200711,109547983.7
TX3570310164720200711,TX3565810161920180413,68300760.5
TX3455510115820180717,TX3464410105120180510,92889139.9
OK3525609595520200222,OK3535809587220180315,33563257.0
NJ3974007449020180422,NJ3977007445020190330,122376278.8
CA4172612124320190728,CA4173712105820200723,629239.5
OR4576612011120180727,OR4572112013020190713,107696025.7
WA4742412023220180901,WA4729212017020200724,9270789.6
CA3540011877020180803,CA3531811870820200701,36176795.1
CA3602211875920210618,CA3604711863120210910,9362188.6
CA3338011743020180706,CA3350411735320210828,18687493.3
NV3721011487220190823,NV3731011483320200719,7244287.4
ID4286811517820190809,ID4292211511120200819,99217341.8
ID4218811351720180726,ID4223511346220180922,101757902.5
ID4223511346220180922,ID4235511352920201010,55887193.0
ID4316911383020180716,ID4319611377420190801,87395436.5
AZ3415011213920200531,AZ3417411217520200807,133633205.1
UT3952611225620191026,UT3942511234720200626,200609061.7
AZ3394811199720180727,AZ3395311201220190903,174702248.4
MT4762510936620180903,MT4758110954820200807,56369992.8
